vote,n_vote,vote_count_ok,vote_count_nok,vote_count_mitige,optype,title,body,tsneX,tsneY,ptcol,ptcex,p_prop
0.933333333333333,15,14,0,1,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",Grand plan d'aménagement et d'utilisation des voies navigables pour le transport des marchandises,<p>Nous avons tout un réseau de voies navigables dont nous ne tirons pas profit.</p>,-46.2294436978187,-24.7567968236773,#1A985099,0.51347103726987,0.0009765625
0.8,5,4,1,0,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",TARIFS PROGRESSIFS POUR L'ÉLECTRICITÉ ET L'EAU,"<p>Des tarifs progressifs pour l'eau et l'électricité (ou autres énergies) semblent un bon moyen de lutter contre le gaspillage, tout en permettant aux plus vertueux et aux revenus les plus modestes de bénéficier de tarifs pratiquement à prix coûtant</p>",36.8822372180672,-3.71339491535229,#66BD6399,0.504490345756623,0.375
0.6,10,6,3,1,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",favoriser les produits bios,"<p>Taxer encore plus les produits non bios, baisser la TVA sur les bios, obliger les cantines scolaires à aller vers \""""tous les jours bio\"""" et pas seulement 1 jour. Chaque année on rajouterait 1 jour de plus bio jusqu'à arriver à 5 ou 6 selon les établissements le temps de permettre la transition avec l'agriculture. Développer les coopératives bios de proximité. Ne pas importer de produits non bios ou augmenter fortement les taxes d'importation, augmenter aussi les contrôles. Expliquer aux enfants les bénéfices.</p><p>Développer l'herboristerie bio en recréant un diplôme français, l'acupuncture, une autre médecine qui prenne en compte le patient dans son ensemble.</p><p>Pour financer ces mesures il faudrait prendre là où est l'argent, par exemple instaurer une nouvelle taxe sur les produits chimiques destinés à l'agriculture (engrais, pesticides, herbicides, graines transgéniques résistantes )</p>",6.76476365441491,41.9426201560205,#D9EF8B99,0.508980691513247,0.75390625
0.5625,16,9,7,0,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",Sortir du nucléaire,<p>Sortir du nucléaire</p>,49.7046945100635,-35.1780669426677,#FFFFBF99,0.514369106421194,0.803619384765625
0.5,6,3,1,2,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",vrai alternative énergétique,"<p>avant de taxer le diesel ou le fioul pour se chauffer  , il faudrait trouver une vrai alternative comme peut être hydrogène , éthanol ), car si demain tout le monde se chauffe et roule électrique , le réseau ne va pas supporter la consommation et de + il faudrait combien de centrales nucléaires en + ,  et la voiture électrique a une autonomie très faible donc juste pour rouler localement , la quantité de lithium ou autre pour fabriquer ces batteries sera énorme et deviendra très cher  sans oublier la longévité , et le coût des pannes qui pourrais en résulter , comme la sécurité pour les voitures ( air-bag et abs ) les constructeurs avec l'état  devraient équiper les nouveaux véhicules sans forcer à changer ou punir ceux qui ont des voitures plus anciennes. </p>",11.5866941087348,-36.507654728169,#FFFFBF99,0.505388414907948,1
1,4,4,0,0,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",Camion et ferroutage,"<p>Mettre en œuvre un véritable plan coercitif  de transport des camions longues distances par ferroutage, taxation mortel pour les transports internationaux</p>",-47.2731488575024,-36.3950590322089,#1A985099,0.503592276605299,0.125
0.620689655172414,29,18,7,4,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",Réduction de la politique nataliste,"<p>Le nombre d'êtres humains n'est pas soutenable pour notre planète. Il est temps de maitriser les naissances. Pour ce faire, il faut réduire les aides (CAF, impot sur le revenu, ...) au-dela du 1er enfant.</p>",-39.3716303678283,2.59700385518824,#D9EF8B99,0.526044005388415,0.26493089646101
1,1,1,0,0,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",pesticides,"<p>interdire les pesticides quel qu'il soit, la vente et l'utilisation c'est très urgent. </p>",13.901350862316,67.556571858784,#1A985099,0.500898069151325,1
0.523809523809524,21,11,10,0,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport","Ouvrir les yeux: réchauffement oui, dérèglement non.","<p>Contrairement à ce qu'on nous annonce on tente de transformer le réchauffement climatique naturel en dérèglement provoqué par l'homme et on nous assomme de taxes en prenant comme prétexte cette ineptie et la possibilité de modifier le climat.</p><p> S'il est vrai qu'on peut tout faire pour améliorer notre santé en étant écologiste, nous n'arriverons jamais à faire tourner la terre dans l'autre sens.</p><p> Pour vous ouvrir les yeux je vous invite à regarder cette vidéo d'environ une heure et que vous pouvez retrouver sous le titre \""""le secret des nuages\""""</p><p>https://www.dailymotion.com/video/x139d0a</p>",-14.8214919235351,8.05003409725343,#FFFFBF99,0.518859452177818,1
0.5,4,2,2,0,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",Lancer un énorme plan de recherche sur les énergies renouvelables pour sortir du pétrole et du gaz et enfin du nucléaire,<p>Lancer un énorme plan de recherche sur les énergies renouvelables pour sortir du pétrole et du gaz et enfin du nucléaire</p>,45.7660884968993,-29.7406341955161,#FFFFBF99,0.503592276605299,1
0.969843834141088,1857,1801,11,45,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",Emballage recyclable ou biodégradable,<p>Interdire les emballages non recyclables ou non biodégradables. </p>,48.0583136372336,32.809500534737,#1A985099,2.16771441400988,0
1,2,2,0,0,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",Pour ne vendre que des aliments sains et non des poisons dans les magasins !,"<p>Ce n'est pas la peine de mettre autant de produits de toutes marques dans les magasins, ne mettre que des produits parfaits, point c'est tout !</p>",-4.71707313131223,20.4326479555208,#1A985099,0.501796138302649,0.5
0.916666666666667,12,11,1,0,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",Elevage  traditionnel,"<p>Il faut absolument récompenser (d'une façon ou d'une autre) , par  dégrèvement fiscaux, subventions , majoration des prix de ventes par aménagement de la TVA tous les agriculteurs qui  respectent les animaux qu'ils élèvent . Favoriser  les circuits alimentaires courts,inciter à consommer localement.Faire accepter (par incitation) le fait de payer plus cher des produits de qualités.</p>",13.8147830107583,-0.879907476344017,#1A985099,0.510776829815896,0.00634765625
0.6,5,3,1,1,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",Velo hydrogène,<p>Ou sont les propositions sur les velos hydrogène .</p><p><br /></p>,24.9462468320322,-43.457821074417,#D9EF8B99,0.504490345756623,1
0.571428571428571,14,8,4,2,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",Réduire la TICPE de 60 à 35%,<p>L'automobiliste français à le droit de demander la fin du viol à la pompe. </p>,-14.0157059661378,-3.85144585852133,#FFFFBF99,0.512572968118545,0.79052734375
1,4,4,0,0,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport","Gaspillage (produits de première nécessité : aliments, soins, vêtements....)","<p>Organiser la récupération des invendus, en impliquant légalement les multinationales.</p>",4.30920574972606,25.7615270932733,#1A985099,0.503592276605299,0.125
1,4,4,0,0,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",diminution de la pollutio,<ul><li>faire utiliser le train par nos élus ( et non l'avion ou/ et la voiture)</li><li>maintenir le service public de proximité ( moins de km à parcourir en voiture pour y accéder)</li><li>éviter les voitures électriques qui polluent dès leur construction</li></ul>,-14.7932199667839,-30.2334174241759,#1A985099,0.503592276605299,0.125
1,3,3,0,0,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",Plus d'informations sur nouvelle technologie automobiles non polluante,"<p>Plus d'informations sur les avancées écologique des automobiles.</p><p>Exemple: première voiture fonctionnant à l'eau de mer fabriqué en Suisse, très peu entendu parlé, alors qu'à l'air de la voiture écologique il me semble qu'une alternative à l'électrique ( pas au point et aussi polluant: déchets radioactifs ) me semble indispensable.</p>",14.6079799297263,-31.8280213655107,#1A985099,0.502694207453974,0.25
1,10,10,0,0,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",Gestion des déchets,"<p>Bannir les emballages individuels en portions dans les boites contenant par exemple du Riz, des pates etc</p><p>en règle générale 1 boite carton parfois filmé avec + ou - 4 sachet plastique à l’intérieur </p>",42.4099512956154,28.3776584396627,#1A985099,0.508980691513247,0.001953125
0.9,10,9,0,1,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",RECYCLER LE PLASTIQUE,"<p>Les déchetteries refusent de collecter tous les contenants plastiques. C'est une catastrophe écologique, puisque tout ce plastique est enterré avec les autres déchets. EXIGEONS DE NOTRE GOUVERNEMENT LA RECUPERATION ET LE RECYCLAGE DE TOUS LES EMBALLAGES PLASTIQUES. </p>",48.0095915791207,32.6353623522979,#1A985099,0.508980691513247,0.021484375
0.970446735395189,1455,1412,8,35,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",Diminuer le transport de marchandise routier et faire payer les transporteurs etrangers qui transitent,<p>Diminuer le transport de marchandise routier et faire payer les transporteurs étrangers qui transitent</p>,-49.9939460886025,-32.5549176594347,#1A985099,1.80669061517737,0
0.980392156862745,102,100,2,0,"Transition Ecologique et Solidaire, Agriculture & Alimentation, Transport",Compostage,<p>Développer la filière de compostage. Traiter les déchets alimentaires et valoriser en compost et biogaz dans le cas de methaniseur. </p>,54.8981332027216,15.4188224073609,#1A985099,0.591603053435115,2.07233759801558e-27
