vote,n_vote,vote_count_ok,vote_count_nok,vote_count_mitige,optype,title,body,tsneX,tsneY,ptcol,ptcex,p_prop
1,9,9,0,0,"Education, jeunesse, Enseignement Supérieur, Recherche et Innovation",PROGRAMMES SCOLAIRES,<p>TENIR COMPTE DE L AVIS DES ENSEIGNANTS LORS DE L ELABORATION DES PROGRAMMES</p>,-30.055123225272,-2.03189379283761,#1A985099,0.51229088426084,0.00390625
0.603238866396761,247,149,57,41,"Education, jeunesse, Enseignement Supérieur, Recherche et Innovation",réinstaurer de vrais programmes scolaires.,"<p>ré instauration de vrais programmes scolaires notamment sur l'histoire de france, suppression de la méthode globale, cours d'éducation civique afin d'éduquer les jeunes sur le mode de fonctionnement des différentes instances politiques. Etudier à nouveau nos philosophes et poètes français. Suppression de la méthode des couleurs (vert jaune orange rouge), selon que l'enfant est sage ou pas en classe. </p>",17.2274712925384,-12.6613517106562,#D9EF8B99,0.837316490269717,0.0014160451974585
0.5,8,4,4,0,"Education, jeunesse, Enseignement Supérieur, Recherche et Innovation",Langue des signes,<p>Apprendre la langue des signes dès la primaire.</p>,43.2335039619144,-29.3994872586338,#FFFFBF99,0.51092523045408,1
0.666666666666667,3,2,1,0,"Education, jeunesse, Enseignement Supérieur, Recherche et Innovation","Universités : Mettre fin au féodalisme des présidents d'universités pour une direction démocratique et collégiale des universités,","<p>Pour des procédures transparentes d'attributions des postes d'enseignants-chercheurs, pour mettre un terme à la concurrence entre universités, dont la concurrence malsaine pour les financements, ainsi qu'à l'évaluation permanente, chronophage et bureaucratique, au profit d'une évaluation scientifique</p>",33.8656296681646,40.7340735257355,#D9EF8B99,0.50409696142028,1
0.636363636363636,55,35,19,1,"Education, jeunesse, Enseignement Supérieur, Recherche et Innovation",Respect de l'interdiction de devoirs à la maison,<p>C'est une loi bafouée qui accrue l'inégalité des chances. Etudes du soir pour tous. On laisse son cartable au casier.</p>,29.5452264237475,-29.1368957508645,#D9EF8B99,0.575110959371799,0.0580641467924093
0.8,5,4,0,1,"Education, jeunesse, Enseignement Supérieur, Recherche et Innovation",L'Education ne s'entreprend pas qu'à l'école,"<p>Les premières années d'une vie sont déterminantes de l'avenir de chacun.</p><p>Le système éducatif est resté trop longtemps laxiste sur la qualité de  l'apprentissage de la lecture, de l'écriture, et du calcul.</p><p>Je me souviens m'être insurgé contre la méthode d'apprentissage de la lecture dite \""""méthode globale\"""" dans les années 80, à l'époque où mes enfants commençaient leur scolarité.</p><p>Résultat: Ils écrivent maintenant comme ils parlent. De grosses carences en orthographe et en grammaire en ont résultées. Et je ne parle pas des difficultés syntaxiques.</p><p>Si on y ajoute le recours effréné à la télématique via les SMS et autres moyens de communication \""""dématérialisés\"""", on atteint le fond.</p><p>La nécessité, pour un couple de parents, de travailler à deux pour faire face aux dépenses quotidiennes s'exerce au détriment de l'éducation de leur(s) enfant(s).</p><p>Je proposerais que les mères de famille qui souhaitent se consacrer pleinement à l'éducation de leur(s) enfant(s) soient rémunérées décemment pour cette activité.</p><p>Par ailleurs, on ne peut pas demander aux enseignants de se substituer à l'autorité parentale pour dispenser les principes fondamentaux des règles de vie en société (éducation civique entre autres).</p><p>Les parents sont les premiers concernés par l'éducation dispensée à leurs enfants</p>",16.925139424298,-13.7184327165658,#66BD6399,0.5068282690338,0.375
0.3,20,6,13,1,"Education, jeunesse, Enseignement Supérieur, Recherche et Innovation",Retour à l'uniforme à partir du collège,<p>Retour à l'uniforme à partir du collège</p>,-21.7406924814496,-8.45690838237848,#FDAE6199,0.5273130761352,0.115318298339844
1,11,11,0,0,"Education, jeunesse, Enseignement Supérieur, Recherche et Innovation",Sortir l'école de la pensée magique,"<ul><li>Pour que les élèves puissent profiter au mieux des cours qui leur sont donnés</li><li>Pour que l'enseignement puisse s'adapter aux élèves en fonction de leurs facilités, leurs difficultés, leur rythme, leurs différentes façons d'apprendre ( certains sont plus visuels ou tactiles ou auditifs...)</li><li>Pour les élèves puissent travailler dans de bonnes conditions</li></ul><p><br /></p><p>Plusieurs professeurs ( ou un prof avec des aides) sont nécessaires dans une même classe.</p><p><br /></p><p>C'est ce qui existe plus ou moins dans les maternelles.</p><p><br /></p><p>Ce dispositif devrait perdurer, au moins jusqu'au CM2.</p><p><br /></p><p>En permettant à la grande majorité des élèves de réussir à l'école, on résoudra une bonne part des problèmes de discipline. La plupart ( pas tous) des élèves perturbateurs sont en échec scolaire. Et ne croyez pas que c'est un choix, tout le monde aime réussir.</p><p><br /></p><p>Vous me direz cela coûte cher.</p><p><br /></p><p>Sans doute, mais les tablettes achetées par le Conseil Général, que personne n'avait demandé, dans le collège de ma fille et dont aucun prof ne se sert n'ont-elles pas coûter chères ? Des exemples comme celui là il y en a malheureusement trop.</p><p><br /></p><p>Et puis c'est un choix de société.</p><p><br /></p><p>Voulons-nous une société qui permet à chaque enfant d’acquérir des savoirs dans de bonnes conditions ?</p><p>Ou préfère-t-on continuer d'acheter la paix sociale en faisant passer tous les élèves sans qu'ils aient acquis le niveau requis ?</p><p>Le tout sans remettre en cause les chasses gardées pour les \""""élites\"""".</p><p><br /></p><p>L'école est un des socles de la démocratie. La négliger, ou pire la saper n'est jamais une bonne nouvelle.</p>",9.6443099678257,-17.270405424687,#1A985099,0.51502219187436,0.0009765625
0.25,16,4,4,8,"Education, jeunesse, Enseignement Supérieur, Recherche et Innovation",étalement des vacances scolaires,"<p>quitte à garder un socle commun en été ,je propose d'étaler davantage  les congés selon les académies</p>",-24.8302002099521,7.01345222800114,#F46D4399,0.52185046090816,0.076812744140625
0.625,8,5,3,0,"Education, jeunesse, Enseignement Supérieur, Recherche et Innovation","Education gratuite : Assurer la gratuité réelle de l'éducation publique, y compris les cantines, le transport et les activités périscolaires","<p>Assurer la gratuité réelle de l'éducation publique, y compris les cantines, le transport et les activités périscolaires, fournir gratuitement aux élèves les manuels scolaires, ainsi que des fournitures sans marque, pour assurer une réelle égalité des conditions entre élèves et lutter contre l'intrusion marchande à l'école</p>",-41.685064732388,-8.84375690880908,#D9EF8B99,0.51092523045408,0.7265625
0.833333333333333,6,5,1,0,"Education, jeunesse, Enseignement Supérieur, Recherche et Innovation",Aide Serieuse à l orientation Scolaire et Professionnelle,"<p>Le service de l'école public, doit mettre en place en fin de collège et de lycée une aide à l'orientation beaucoup plus poussée que ce qui existe actuellement afin d'aider reellement à trouver ce qui motive le plus , les aptitudes naturelles et les désirs profonds des élèves, pour les mener petit à petit vers un métier qu'ils ont vraiement envie de faire.</p>",11.7609982201547,37.1119182219058,#66BD6399,0.50819392284056,0.21875
0.636363636363636,11,7,2,2,"Education, jeunesse, Enseignement Supérieur, Recherche et Innovation","Qualité de vie des jeunes majeurs : étudiants, en formation diplomante, etc.","<p>Supprimer le système des bourses complètement obsolète. Le remplacer par un revenu minimum mensuel équivalent au RSA qui serait accordé individuellement, sans référence aux revenus des parents. Seraient concernés tous les jeunes en formation universitaires post-baccalauréat, les formations professionnelles diplomantes, etc.</p>",-2.80059124758259,45.9128733544531,#D9EF8B99,0.51502219187436,0.548828125
1,1,1,0,0,"Education, jeunesse, Enseignement Supérieur, Recherche et Innovation",Un système scolaire qui forme aux besoins des entreprises,"<p>Un grand nombre de petites entreprises ont besoin de jeunes pour se développer et affronter les marchés internationaux. Le problème aujourd'hui, c'est que dans un grand nombre de domaine, la formation du salarié est à la charge de l'entreprise car aucune faculté ne forme au besoins actuels. Serte, nous avons des têtes biens pleines, mais vides de savoir faire opérationnels.</p><p>L'enseignement supérieur devrait s'inspirer beaucoup plus des formations en alternance.</p>",2.82635856303531,25.6964822907858,#1A985099,0.50136565380676,1
0.85,20,17,1,2,"Education, jeunesse, Enseignement Supérieur, Recherche et Innovation",enseignement des mathématiques en terminale,"<p>Le programme de mathématiques en terminale S est très inférieur à celui des terminales allemandes, anglaises, belges et suisses.</p><p>En plus les théorèmes ne sont pus démontrés. Les manuels actuels sontplus proches d'un livre de cuisine qu'un livre de mathématiques.</p><p>Il faut augmenter le programme pour se hisser au niveau de nos voisins européens, ce qui suppose que l'on consacre plus de temps aux mathématiques en 1ère et en terminale.</p>",56.9117447412762,-0.712653825864651,#66BD6399,0.5273130761352,0.00257682800292969
