vote,n_vote,vote_count_ok,vote_count_nok,vote_count_mitige,optype,title,body,tsneX,tsneY,ptcol,ptcex,p_prop
0.75,4,3,1,0,"Europe, Affaires Etrangères, Outre-mer",Pour une Europe constructive !,"<p>L'Europe ne doit pas être une zone où les pays se concurrencent \""""librement et de façon non faussée\"""". Elle va ainsi à sa perte si ce n'est déjà fait.</p><p>Au contraire, les pays doivent s'unir pour faire face aux autres grandes puissances Etats Unis, Chine... Il faut revenir aux principes de sa construction avec l'Europe des 6.</p><p>Pour commencer, il faut chercher une uniformisation des règles fiscales, sociales et environnementales. Cette Europe doit redevenir l'Europe des peuples et non un marché économiques gérée par la finance et les grands groupes industriels pour la plupart non-européens.</p>",15.0367861072544,7.4314078117585,#A6D96A99,0.505716327259736,0.625
0.9,10,9,1,0,"Europe, Affaires Etrangères, Outre-mer",TRAVAILLEURS DETACHES et PARADIS FISCAUX EUROPEENS,"<p>Faire annuler cet avantage pour certains Pays de l'Europe qui plombe nos caisses sociales et fait diminuer nos salaires. L'Europe oui mais à condition que tout soit au même niveau pour une concurrence loyale. Exclure les Pays Européens qui sont des paradis fiscaux (Belgique, Pays Bas, Luxembourg, Irlande ...) s'ils ne veulent pas y renoncer.</p>",43.1358330723169,7.50897087925774,#1A985099,0.514290818149339,0.021484375
0.923076923076923,13,12,1,0,"Europe, Affaires Etrangères, Outre-mer",Immigration contrôlée et choisie.,<p>Ne laisser rentrer que les VRAIS réfugiés. Renvoyer tous les autres.</p>,-26.2697582252806,-36.2675483822348,#1A985099,0.518578063594141,0.00341796875
0.8,15,12,1,2,"Europe, Affaires Etrangères, Outre-mer",Immigration - Reconstruire leur pays plutôt que de leur donner le notre.,"<p>Si on voulait vraiment aider les migrants, plutôt que des les héberger ne faudrait il pas rendre leur pays habitable, envoyer les armées de l'ONU pour faire cesser les affrontements, reconstruire leurs maisons, voir renverser le régime en place une bonne fois pour toute et mettre en place un gouvernement transitoire ?</p><p><br /></p><p>Que fait l'ONU depuis toutes ses années ? On parle quand même des nations unis contre l'armée d'un tout petit pays tel que la Syrie, la situation aurait du être réglée depuis longtemps, au lieu de ça l'ONU continue de bombarder le pays obligeant son peuple à se répartir dans les pays européens.</p><p><br /></p><p>Un moment donné il faut prendre une décision, soit l'ONU se retire et arrête de faire de l’ingérence soit elle va jusqu'au bout, renverse le régime, colonise le pays et le reconstruit pour que son peuple puisse rentrer chez eux.</p>",-37.157518814954,-10.7944140721221,#66BD6399,0.521436227224009,0.03515625
0.918918918918919,37,34,3,0,"Europe, Affaires Etrangères, Outre-mer",supprimer le droit du sol a mayotte,"<p>Les femmes des iles voisines viennent accoucher a Mayotte, plus grande maternite de France et ne sont plus expulsables </p>",-3.32716442619349,-45.7521254755355,#1A985099,0.552876027152554,1.23312929645181e-07
0.722222222222222,18,13,5,0,"Europe, Affaires Etrangères, Outre-mer",Sortir de l'Europe,<p>Sortir de l'Europe et rester sur des accords commerciaux avec une monnaie propre à chaque pays et le taux de change adapté. </p>,12.5075649326948,19.6323408669989,#A6D96A99,0.52572347266881,0.09625244140625
0.583333333333333,24,14,8,2,"Europe, Affaires Etrangères, Outre-mer",FREXIT,"<p>L'Europe ne protège plus, le droit dérivé européen contraignant ou non contraignant prime sur la souveraineté nationale. A quoi sert de faire des lois nationales, la plupart vers le moins-disant qu'impose l'UE, car c'est cette dernière qui donne la feuille de route. L'Europe ne protège plus que les multinationales au travers de la multiplicité des accords de libre échange et elle permet même à ces dernières d'attaquer sciemment les Etats membres pour atteinte à leurs investissements sans que l'inverse soit possible (en cas de pollution industrielle, par exemple). FREXIT, ceux qui sortiront de l'Europe les premiers seront les gagnants, sans le bras de fer du BREXIT, naturellement. </p>",8.5940274505914,-4.34175615206064,#FFFFBF99,0.534297963558414,0.541256189346313
0.6,5,3,2,0,"Europe, Affaires Etrangères, Outre-mer",Eviter la concentration de migrants afin d'éviter le communotarisme,<p> Eviter la concentration de migrants afin d'éviter le communotarisme </p>,-19.8833631227268,-35.2715569049135,#D9EF8B99,0.50714540907467,1
0.75,4,3,0,1,"Europe, Affaires Etrangères, Outre-mer",Cesser d'opposer l'Europe à la Nation ou la Nation à l'Europe,<p>Cesser d'opposer l'Europe à la Nation ou la Nation à l'Europe car s'est ainsi que l'on détruit à la fois l'Europe et les Nations qui la constituent.</p>,15.3402313491877,43.2080193700309,#A6D96A99,0.505716327259736,0.625
0.666666666666667,3,2,0,1,"Europe, Affaires Etrangères, Outre-mer",conditionner les aides europeennes,"<p>conditionner les aides europeennes à une convergence fiscale , sociale et démocratique.Penaliser les pays n allant pas vers des convergences des normes sociales et fiscales par des amendes consequentes ..ex :secret fiscal luxembourg , dumping fiscal irlandais .</p>",42.8469233623125,14.1276325768396,#D9EF8B99,0.504287245444802,1
0.625,8,5,3,0,"Europe, Affaires Etrangères, Outre-mer",Reconnaître le droit à l’avortement et à la contraception comme libertés fondamentales dans toute l’UE,<p>Reconnaître le droit à l’avortement et à la contraception comme libertés fondamentales dans toute l’UE</p>,2.87745814674064,-12.2626182957906,#D9EF8B99,0.511432654519471,0.7265625
0.827586206896552,29,24,2,3,"Europe, Affaires Etrangères, Outre-mer",Plus de  lobbyiste,<p>Interdire les lobbyistes d’opérer; Aucune loi ou traité ne dois être voté pour l’intérêt d'une minorité.</p>,-22.4791103721181,1.45636033401489,#66BD6399,0.541443372633083,0.000546112656593324
1,9,9,0,0,"Europe, Affaires Etrangères, Outre-mer",Traiter les 150000 tonnes d'obus chimique des guerres mondiales en mers du nord,"<p>Regardez le reportage \""""Menaces en mers du nord\"""" sur youtube, c'est très grave: 150000 tonnes d'obus explosifs et chimiques, effrayants et encombrants à l'époque , gisent au fond des mers du nord et le long des littoraux européens. La France, alors que les autres coopèrent pour recenser ces bombes à retardement, elle, garde porte close au nom du secret défense, c'est inadmissible ! Les bombes là depuis 100 ans rouillent et commencent à épandre leurs contenus. Quel cadeau faisons nous ainsi ? C'est dégueulasse, les guerres ont laissé des traces et le retour de baton, si nous ne faisons rien, sera cataclysmique. Il est plus que temps que la France et l'Union Européenne se saisissent du problème. </p>",-13.4301364147307,-16.5379162469274,#1A985099,0.512861736334405,0.00390625
0.666666666666667,9,6,2,1,"Europe, Affaires Etrangères, Outre-mer","NEUTRALITE : La France, pays non aligné","<p>Déclarer la France pays non aligné. </p><p>La France n'a aucun intérêt à être partie prenante en cas de conflit entre les US, la Chine et/ou La Russie.</p><p><br /></p>",-6.52545761672002,0.316763599774872,#D9EF8B99,0.512861736334405,0.5078125
0.666666666666667,3,2,0,1,"Europe, Affaires Etrangères, Outre-mer",Question---cela brille !---------et c'est obscur ?,"<p><br /></p><p><br /></p><p><br /></p><p><br /></p><p>c'est le marché du diamant aucun chef ,d’état aucun ministres, député , européen ou ect ect n'a posé ou s''est posé la question j'ais vu un reportage TV il y a 1 ou 2 ou 3 ans , ou, les enquêteurs se sont posé la question ,mais c'est rester très obscur voir opaque</p><p>enquête quasiment impossible</p><p><br /></p><p>des sommes colossales sont en jeux et cela se passent à Anvers aux pays bas ou en hollande comme vous préférez,et anvers( je plaisantai, c'est un euphémisme) donc :, envers et contre tous . cela aux yeux de tous, dans le monde, et au sein de U E</p><p>Les sommes sont considérable, mais comme le marché est bouclé, verrouillé ,et bien sur il faut montrer pattes blanches et de plus pour y entrer avoir 2 ou 3 initiés être accompagnés par 2 personnes trier et choisis sur le vole, de plus connaissant très, très bien les rouages qui plus est discrétions et de sécurités optimum,qu'il est presque mission impossible d'y entrer ,de plus les questions sont choisies : faudrait surtout pas faire n'importe quoi ,car les sommes en jeux sont importantes que dis je ,considérables, mais de plus pas de questions sur le fonctionnement de ce satané argent  ,et  à cela  messieurs les Reporteurs vous y attribuer trop d'importance . donc  c'est vous, de  déchiffrer ,et surtout ne pas divulguer !</p><p>entretient tous en douceur, et tous, surtout préparer des questions a l'avance, analyser et réfléchir , être subtil de surcroît dans ce métier pour poser les bonnes questions  c'est vraiment  pas facile , et malgré cela</p><p><br /></p><p>sommes énormes sans les définir,  aucune clarté</p><p>pour finir ça brille mais c'est pas clair</p><p><br /></p><p><br /></p><p>--- exigeons d'une part la transparence sur ce marché du diamant</p><p>d'autre par</p><p>---- la parti imposable sur ces véritables sommes et distribué ces sommes dans chaque pays de l'UE de façon équitable</p><p><br /></p><p>ne voter pas a suivre</p><p><br /></p>",-7.49203891514226,-16.1309205076153,#D9EF8B99,0.504287245444802,1
0.846153846153846,39,33,1,5,"Europe, Affaires Etrangères, Outre-mer",GUERRE A l'ETRANGER,"<p>Plus de guerre déclarée sur territoire étranger sans recueil de l'avis du peuple (Irak, Yougoslavie, Lybie...), sauf urgence.</p>",-41.2158339307705,-5.53963618363378,#66BD6399,0.555734190782422,1.42992612381932e-05
0.202072538860104,579,117,387,75,"Europe, Affaires Etrangères, Outre-mer",Indépendance des outremers et de la Corse,"<p>Les départements et régions d'Outremer (ex-DOM) tout comme les autres territoires ultramarins (Polynésie, Nouvelle-Calédonie) sont des reliquats des anciens empires coloniaux français. Il serait plus que temps de tourner la page et de laisser ces populations (notamment autochtones en Polynésie et Nvelle Calédonie) recouvrer leur souveraineté. Quant à la Corse, elle est devenue française en remboursement de la dette de Gêne envers la monarchie (c'était sous Louis XV). Le peuple corse a même connu une expérience démocratique avant la révolution française. Ces territoires doivent devenir souverains et se gérer eux-mêmes.</p>",-0.43639236577049,-43.8044485639968,#F46D4399,1.32743837084673,1.97107468253081e-49
0.888888888888889,9,8,1,0,"Europe, Affaires Etrangères, Outre-mer",travail détaché,<p>mettre fin au travail détaché dans toutes l'europe tant que l'harmonisation au niveau des salaires &amp; des charges ne soit pas identique dans tous les états européens.</p><p><br /></p>,24.6468691312976,-0.963668161417016,#66BD6399,0.512861736334405,0.0390625
